                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2546,                 1.1472,                 1.3795,                 0.6297,                0.61538,                0.64573,                0.39286,                 1.3321,                 1.2177,                 1.4728,              0.0014114,              0.0014114,              0.0014114
                     35,                   1.26,                 1.1583,                 1.3716,                0.64926,                0.61182,                0.64033,                0.38444,                  1.352,                 1.2608,                 1.4893,              0.0013935,              0.0013935,              0.0013935
                     36,                 1.2334,                 1.1553,                 1.3687,                0.67859,                0.59098,                0.65935,                0.39135,                 1.3432,                 1.2081,                 1.5017,              0.0013757,              0.0013757,              0.0013757
                     37,                 1.2535,                 1.1464,                  1.372,                0.65662,                0.58547,                 0.6399,                0.38064,                 1.3429,                 1.2483,                 1.4702,              0.0013578,              0.0013578,              0.0013578
                     38,                 1.2409,                 1.1383,                 1.3689,                0.68929,                0.58147,                 0.6583,                0.39177,                 1.3306,                 1.2663,                 1.4806,                0.00134,                0.00134,                0.00134
                     39,                 1.2243,                 1.1109,                 1.3607,                0.67866,                0.60772,                0.66391,                0.39038,                 1.3919,                 1.2197,                 1.5058,              0.0013222,              0.0013222,              0.0013222
                     40,                  1.235,                 1.1426,                 1.3693,                0.67486,                0.60169,                0.66485,                0.39764,                 1.3517,                  1.202,                 1.4876,              0.0013043,              0.0013043,              0.0013043
                     41,                 1.2237,                 1.1218,                 1.3623,                0.70844,                0.58333,                0.66344,                0.40175,                 1.3432,                 1.2228,                 1.4854,              0.0012865,              0.0012865,              0.0012865
                     42,                 1.2073,                 1.1071,                 1.3526,                0.68268,                0.59914,                0.67789,                0.40945,                 1.3089,                 1.1856,                 1.4584,              0.0012686,              0.0012686,              0.0012686
                     43,                 1.2292,                 1.0978,                 1.3592,                0.70295,                0.60256,                0.66729,                0.39783,                 1.3382,                 1.2089,                 1.4952,              0.0012508,              0.0012508,              0.0012508
                     44,                 1.2352,                 1.1197,                 1.3658,                0.64692,                0.61752,                0.66337,                0.40068,                 1.3403,                 1.2077,                 1.4733,               0.001233,               0.001233,               0.001233
                     45,                 1.2289,                  1.109,                 1.3569,                0.67373,                0.60755,                0.65763,                0.39404,                 1.3456,                 1.2305,                 1.4777,              0.0012151,              0.0012151,              0.0012151
                     46,                 1.2212,                 1.0958,                 1.3505,                0.67669,                0.61119,                0.65014,                0.39261,                 1.3314,                 1.1868,                 1.4699,              0.0011973,              0.0011973,              0.0011973
                     47,                 1.2045,                 1.0781,                 1.3379,                0.66115,                0.63319,                0.68022,                0.41032,                 1.3227,                 1.1602,                 1.4725,              0.0011795,              0.0011795,              0.0011795
                     48,                  1.216,                 1.0656,                 1.3505,                0.66685,                0.61396,                0.66504,                0.40249,                 1.3275,                 1.1492,                 1.4664,              0.0011616,              0.0011616,              0.0011616
